' ' 32 0 0 0 0 32 0 0 0 0
'!' 33 16 86 13 84 43 0 0 0.015625 0.0839844
'"' 34 38 30 7 84 52 0.015625 0 0.0527344 0.0292969
'#' 35 60 84 2 84 64 0.0527344 0 0.111328 0.0820312
'$' 36 56 103 5 93 64 0.111328 0 0.166016 0.100586
'%' 37 99 86 4 85 107 0.166016 0 0.262695 0.0839844
'&' 38 94 86 4 85 100 0.262695 0 0.354492 0.0839844
''' 39 13 30 5 84 23 0.354492 0 0.367188 0.0292969
'(' 40 34 116 5 89 43 0.367188 0 0.400391 0.113281
')' 41 33 116 4 89 43 0.400391 0 0.432617 0.113281
'*' 42 52 47 6 84 64 0.432617 0 0.483398 0.0458984
'+' 43 60 60 6 73 72 0.483398 0 0.541992 0.0585938
',' 44 20 33 4 13 32 0.541992 0 0.561523 0.0322266
'-' 45 34 10 4 35 43 0.561523 0 0.594727 0.00976562
'.' 46 16 15 8 13 32 0.594727 0 0.610352 0.0146484
'/' 47 36 85 0 84 36 0.610352 0 0.645508 0.0830078
'0' 48 56 86 4 85 64 0.645508 0 0.700195 0.0839844
'1' 49 46 85 11 85 64 0.700195 0 0.745117 0.0830078
'2' 50 52 85 5 85 64 0.745117 0 0.795898 0.0830078
'3' 51 53 86 6 85 64 0.795898 0 0.847656 0.0839844
'4' 52 60 84 2 84 64 0.847656 0 0.90625 0.0820312
'5' 53 52 85 7 84 64 0.90625 0 0.957031 0.0830078
'6' 54 56 86 5 85 64 0 0.113281 0.0546875 0.197266
'7' 55 53 84 8 84 64 0.0546875 0.113281 0.106445 0.195312
'8' 56 56 86 4 85 64 0.106445 0.113281 0.161133 0.197266
'9' 57 55 86 4 85 64 0.161133 0.113281 0.214844 0.197266
':' 58 16 62 10 60 36 0.214844 0.113281 0.230469 0.173828
';' 59 20 80 6 60 36 0.230469 0.113281 0.25 0.191406
'<' 60 60 61 6 73 72 0.25 0.113281 0.308594 0.172852
'=' 61 60 33 6 59 72 0.308594 0.113281 0.367188 0.145508
'>' 62 61 61 6 73 72 0.367188 0.113281 0.426758 0.172852
'?' 63 46 87 6 85 57 0.426758 0.113281 0.47168 0.198242
'@' 64 106 109 6 85 118 0.47168 0.113281 0.575195 0.219727
'A' 65 91 85 1 85 92 0.575195 0.113281 0.664062 0.196289
'B' 66 77 84 3 84 85 0.664062 0.113281 0.739258 0.195312
'C' 67 74 86 5 85 85 0.739258 0.113281 0.811523 0.197266
'D' 68 85 84 3 84 92 0.811523 0.113281 0.894531 0.195312
'E' 69 69 84 3 84 78 0.894531 0.113281 0.961914 0.195312
'F' 70 64 84 3 84 71 0 0.219727 0.0625 0.301758
'G' 71 84 86 5 85 92 0.0625 0.219727 0.144531 0.303711
'H' 72 86 84 3 84 92 0.144531 0.219727 0.228516 0.301758
'I' 73 35 84 4 84 43 0.228516 0.219727 0.262695 0.301758
'J' 74 46 85 2 84 50 0.262695 0.219727 0.307617 0.302734
'K' 75 89 84 3 84 92 0.307617 0.219727 0.394531 0.301758
'L' 76 68 84 3 84 78 0.394531 0.219727 0.460938 0.301758
'M' 77 108 84 3 84 114 0.460938 0.219727 0.566406 0.301758
'N' 78 87 84 3 84 92 0.566406 0.219727 0.651367 0.301758
'O' 79 83 86 5 85 92 0.651367 0.219727 0.732422 0.303711
'P' 80 64 84 3 84 71 0.732422 0.219727 0.794922 0.301758
'Q' 81 86 106 5 85 92 0.794922 0.219727 0.878906 0.323242
'R' 82 83 84 3 84 85 0.878906 0.219727 0.959961 0.301758
'S' 83 56 86 8 85 71 0 0.323242 0.0546875 0.407227
'T' 84 75 84 2 84 78 0.0546875 0.323242 0.12793 0.405273
'U' 85 88 85 2 84 92 0.12793 0.323242 0.213867 0.40625
'V' 86 90 86 1 84 92 0.213867 0.323242 0.301758 0.407227
'W' 87 121 86 0 84 121 0.301758 0.323242 0.419922 0.407227
'X' 88 89 84 2 84 92 0.419922 0.323242 0.506836 0.405273
'Y' 89 89 84 1 84 92 0.506836 0.323242 0.59375 0.405273
